"Front","Back","Tags"
"eine Reservierung machen","to make a reservation — unknown session 2026-04-26 Persona: Klaus Scenario: restaurant_reservation Duration: 8 Mode: voice (used correctly)","restaurant phone anki"
"das wäre alles","that would be all — unknown session 2026-04-26 Persona: Klaus Scenario: restaurant_reservation Duration: 8 Mode: voice (needs practice — formal telephone closing phrase)","register telephone anki"
"für morgen Abend um zwanzig Uhr","for tomorrow evening at eight o'clock — unknown session 2026-04-26 Persona: Klaus Scenario: restaurant_reservation Duration: 8 Mode: voice (needs practice — complete date-time phrase for reservations)","time restaurant anki"
"Auf Wiederhören","goodbye (on the phone) — unknown session 2026-04-26 Persona: Klaus Scenario: restaurant_reservation Duration: 8 Mode: voice (not yet used by Robert — important telephone-specific farewell to learn)","telephone register anki"
"selbstverständlich","of course / certainly — unknown session 2026-04-26 Persona: Klaus Scenario: restaurant_reservation Duration: 8 Mode: voice (heard from Klaus — high-register affirmation worth adding to active vocabulary)","register formal anki"
"reservieren","to reserve / to make a reservation — unknown session 2026-04-26 Persona: Klaus Scenario: restaurant_reservation Duration: 8 Mode: voice (used correctly in context, though the object 'einen Tisch' was missing)","restaurant anki"
"morgen Abend","tomorrow evening — unknown session 2026-04-26 Persona: Klaus Scenario: restaurant_reservation Duration: 8 Mode: voice (needs practice — Robert added an incorrect '-s' suffix (morgen Abends))","time_expressions anki"
"halb acht","half past seven (7:30) — unknown session 2026-04-26 Persona: Klaus Scenario: restaurant_reservation Duration: 8 Mode: voice (used correctly after a brief self-correction; good recovery)","time anki"
"Personen","persons / people (plural) — unknown session 2026-04-26 Persona: Klaus Scenario: restaurant_reservation Duration: 8 Mode: voice (needs practice — Robert used 'Persona' instead)","restaurant vocabulary anki"
"Super, passt.","Great, that works. — unknown session 2026-04-26 Persona: Klaus Scenario: restaurant_reservation Duration: 8 Mode: voice (natural and idiomatic short response; used correctly)","colloquial useful_phrases"
"Mein Name ist ...","My name is ... — unknown session 2026-04-26 Persona: Klaus Scenario: restaurant_reservation Duration: 8 Mode: voice (needs practice — Robert omitted the verb and possessive entirely)","introductions anki"
