source_subscription_ref,sim_id,rate_plan_id
BOREAL-DEVICE-001,89020000000000000001,PLAN-IOT-001
BOREAL-DEVICE-002,89020000000000000002,PLAN-IOT-001
BOREAL-DEVICE-003,89020000000000000003,PLAN-IOT-001
BOREAL-DEVICE-004,89020000000000000004,PLAN-IOT-001
BOREAL-DEVICE-005,89020000000000000005,PLAN-IOT-001
BOREAL-DEVICE-006,89020000000000000006,PLAN-IOT-001
BOREAL-DEVICE-007,89020000000000000007,PLAN-IOT-001
BOREAL-DEVICE-008,89020000000000000008,PLAN-IOT-001
BOREAL-DEVICE-009,89020000000000000009,PLAN-IOT-001
BOREAL-DEVICE-010,89020000000000000010,PLAN-IOT-001
BOREAL-DEVICE-011,89020000000000000011,PLAN-IOT-001
BOREAL-DEVICE-012,89020000000000000012,PLAN-IOT-001
BOREAL-DEVICE-013,89020000000000000013,PLAN-IOT-001
BOREAL-DEVICE-014,89020000000000000014,PLAN-IOT-001
BOREAL-DEVICE-015,89020000000000000015,PLAN-IOT-001
BOREAL-DEVICE-016,89020000000000000016,PLAN-IOT-001
BOREAL-DEVICE-017,89020000000000000017,PLAN-IOT-001
BOREAL-DEVICE-018,89020000000000000018,PLAN-IOT-001
BOREAL-DEVICE-019,89020000000000000019,PLAN-IOT-001
BOREAL-DEVICE-020,89020000000000000020,PLAN-IOT-001
BOREAL-DEVICE-021,89020000000000000021,PLAN-IOT-001
BOREAL-DEVICE-022,89020000000000000022,PLAN-IOT-001
BOREAL-DEVICE-023,89020000000000000023,PLAN-IOT-001
BOREAL-DEVICE-024,89020000000000000024,PLAN-IOT-001
BOREAL-DEVICE-025,89020000000000000025,PLAN-IOT-001
BOREAL-DEVICE-026,89020000000000000026,PLAN-IOT-002
BOREAL-DEVICE-027,89020000000000000027,PLAN-IOT-002
BOREAL-DEVICE-028,89020000000000000028,PLAN-IOT-002
BOREAL-DEVICE-029,89020000000000000029,PLAN-IOT-002
BOREAL-DEVICE-030,89020000000000000030,PLAN-IOT-002
BOREAL-DEVICE-031,89020000000000000031,PLAN-IOT-002
BOREAL-DEVICE-032,89020000000000000032,PLAN-IOT-002
BOREAL-DEVICE-033,89020000000000000033,PLAN-IOT-002
BOREAL-DEVICE-034,89020000000000000034,PLAN-IOT-002
BOREAL-DEVICE-035,89020000000000000035,PLAN-IOT-002
BOREAL-DEVICE-036,89020000000000000036,PLAN-IOT-002
BOREAL-DEVICE-037,89020000000000000037,PLAN-IOT-002
BOREAL-DEVICE-038,89020000000000000038,PLAN-IOT-002
BOREAL-DEVICE-039,89020000000000000039,PLAN-IOT-002
BOREAL-DEVICE-040,89020000000000000040,PLAN-IOT-002
BOREAL-DEVICE-041,89020000000000000041,PLAN-IOT-002
BOREAL-DEVICE-042,89020000000000000042,PLAN-IOT-002
BOREAL-DEVICE-043,89020000000000000043,PLAN-IOT-002
BOREAL-DEVICE-044,89020000000000000044,PLAN-IOT-002
BOREAL-DEVICE-045,89020000000000000045,PLAN-IOT-002
BOREAL-DEVICE-046,89020000000000000046,PLAN-IOT-003
BOREAL-DEVICE-047,89020000000000000047,PLAN-IOT-003
BOREAL-DEVICE-048,89020000000000000048,PLAN-IOT-003
BOREAL-DEVICE-049,89020000000000000049,PLAN-IOT-003
BOREAL-DEVICE-050,89020000000000000050,PLAN-IOT-003

