"Front","Back","Tags"
"etwas Süßes","something sweet","needs-practice Vienna"
"Sauerteigbrot","sourdough bread","needs-practice Vienna"
"kräftig","strong / robust (flavour)","needs-practice Vienna"
"der Stock","the floor / storey","needs-practice Vienna"
"das WLAN","Wi-Fi / wireless network","needs-practice Vienna"
"sich erinnern","to remember","needs-practice Vienna"
"Ich überlege kurz.","Let me think for a moment.","needs-practice Vienna"
"noch einmal wiederholen","to repeat once more","needs-practice Vienna"
"das Gemälde","the painting","needs-practice Vienna"
"auf Englisch sprechen","to speak in English","needs-practice Vienna"
"etwas für meine Frau","something for my wife","needs-practice Vienna"
"der Fahrschein / das Ticket","ticket (transit)","needs-practice Vienna"
"Sie verträgt kein Ibuprofen","She cannot tolerate ibuprofen","needs-practice Vienna"
"Nebenwirkungen","side effects","needs-practice Vienna"
"Salztabletten / Elektrolyt-Tabletten","salt tablets / electrolyte tablets","needs-practice Vienna"
"Ihnen auch einen schönen Tag!","You too, have a nice day!","needs-practice Vienna"
"seit einem Tag","for one day (up to now)","needs-practice Vienna"
"das wäre alles","that would be all","needs-practice Vienna"
"für morgen Abend um zwanzig Uhr","for tomorrow evening at eight o'clock","needs-practice Vienna"
"morgen Abend","tomorrow evening","needs-practice Vienna"
"Personen","persons / people (plural)","needs-practice Vienna"
"Mein Name ist ...","My name is ...","needs-practice Vienna"
"Reservierung","reservation / booking","needs-practice Vienna"
"Mein Name ist …","My name is …","needs-practice Vienna"
"um … Uhr","at … o'clock","needs-practice Vienna"
"Reservierung vornehmen","to make a reservation","needs-practice Vienna"
"um sieben Uhr / um halb acht","at seven o'clock / at half past seven","needs-practice Vienna"
"sich bedanken","to express thanks / to thank","needs-practice Vienna"
"Verlängerter","Verlängerter (Viennese long black coffee – espresso extended with hot water)","needs-practice Vienna"
"Ich nehme…","I'll take / I'll have…","needs-practice Vienna"
"die Eintrittskarte","admission ticket / entry ticket","needs-practice Vienna"
"empfehlen","to recommend","needs-practice Vienna"
"der Fernseher","the television","needs-practice Vienna"
"funktioniert nicht","does not work / is not working","needs-practice Vienna"
"kaltes Wasser / heißes Wasser","cold water / hot water","needs-practice Vienna"
"morgen","tomorrow","needs-practice Vienna"
"schmeckt lecker","tastes delicious","needs-practice Vienna"
"gefallen + Dativ","to please / to like (lit. 'it pleases me')","needs-practice Vienna"
"länger","longer","needs-practice Vienna"
"die Eintrittskarte / die Eintrittskarten","admission ticket / admission tickets","needs-practice Vienna"
"sich umsehen","to look around / browse","needs-practice Vienna"
"alleine / allein","alone / by oneself","needs-practice Vienna"
"interessant","interesting","needs-practice Vienna"
