"Front","Back","Tags"
"der Verlängerter (ein Verlängerter)","an Americano-style elongated espresso — Viennese café waitress session 2026-05-02 (new this session – introduced by Maria, not yet used by Robert)","café Vienna food-and-drink"
"nachdenken (ich denke darüber nach)","to think about / to consider — Viennese café waitress session 2026-05-02 (needs practice – Robert attempted this but used wrong form)","separable-verbs anki"
"Sag einfach Bescheid","just let me know — Viennese café waitress session 2026-05-02 (new this session – useful conversational phrase)","phrases anki"
"Wie sagt man das?","How do you say that? — Viennese café waitress session 2026-05-02 (used correctly in intent but misspelled 'man' as 'mann')","meta-language anki"
"das Sprudelwasser / mit Sprudel","sparkling water — Viennese café waitress session 2026-05-02 (needs practice — Robert said 'mit spritz' instead)","food-and-drink anki"
"Bis zum nächsten Mal","until next time — Viennese café waitress session 2026-05-02 (needs practice — Robert substituted English 'next')","anki farewells"
"Ich möchte gern …","I would like … (polite request) — Viennese café waitress session 2026-05-02 (used correctly — good register awareness)","politeness ordering"
"getrennt / zusammen","separately / together (re: the bill) — Viennese café waitress session 2026-05-02 (understood correctly in context — receptive knowledge confirmed)","café anki"
"zahlen","to pay — Viennese café waitress session 2026-05-02 (needs practice — Robert attempted this concept but used wrong words)","essential anki café"
"Ich überlege kurz","I'll think about it for a moment / Let me consider briefly — Viennese café waitress session 2026-05-02 (used correctly — natural and fluent phrasing)","useful-phrases anki"
"Wir sind bereit","We are ready — Viennese café waitress session 2026-05-02 (used correctly)","useful-phrases"
"der Apfelstrudel","apple strudel — Viennese café waitress session 2026-05-02 (used correctly)","café food Austria"
"Ich nehme ...","I'll have / I'll take ... — Viennese café waitress session 2026-05-02 (used correctly — natural way to order)","ordering restaurant anki"
"Was empfehlen Sie / empfiehlst du heute?","What do you recommend today? — Viennese café waitress session 2026-05-02 (needs practice — good attempt but register and conjugation need attention)","restaurant questions anki"
"einen Moment bitte","one moment please — Viennese café waitress session 2026-05-02 (used correctly)","phrases politeness"
"Wir hätten gern","we would like — Viennese café waitress session 2026-05-02 (used correctly — good use of Konjunktiv II for polite requests)","konjunktiv-ii ordering anki"
"Wir möchten gerne bestellen","we would like to order — Viennese café waitress session 2026-05-02 (used correctly — natural and polite phrasing)","restaurant phrases"
"Könnte ich bitte … haben?","Could I please have …? — Viennese café waitress session 2026-05-02 (used correctly — excellent polite register with Konjunktiv II)","konjunktiv-ii politeness anki"
"kurz","briefly / for a short moment — Viennese café waitress session 2026-05-02 (needs practice — used as 'Kurtz' (misspelled and miscapitalized))","adverbs spelling anki"
"Hier bitte / Hier ist …","Here you go / Here is … — Viennese café waitress session 2026-05-02 (needs practice — confused with 'es gibt')","phrases anki"
"Apfelstrudel","apple strudel — Viennese café waitress session 2026-05-02 (used correctly)","food Austrian anki"
"Rechnung","bill / invoice — Viennese café waitress session 2026-05-02 (needs practice — misspelled as 'Rechtnung')","restaurant anki"
"Hier ist …","Here is … — Viennese café waitress session 2026-05-02 (new this session — preferred over 'Es gibt hier …' when presenting an object)","word_order anki"
